 ;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;
Nurse 0;S;B;M;M;M;B;B;J;J;B;J;S;S;S;B;B;B;B;B;B;B;B;B;B;B;B;B;B;
Nurse 1;B;B;B;B;B;B;B;B;M;M;M;M;B;M;J;B;S;S;S;S;B;B;B;B;M;M;M;M;
Nurse 2;J;B;B;B;B;B;B;S;B;B;J;J;B;B;B;B;B;B;B;B;B;B;M;S;J;B;S;S;
Nurse 3;S;S;S;J;J;B;B;B;B;B;B;B;B;B;B;J;B;M;B;B;B;M;B;M;B;J;B;B;
Nurse 4;J;J;J;S;S;S;S;B;B;J;J;B;M;B;M;M;M;B;M;M;M;J;J;B;S;S;S;B;
Nurse 5;M;M;M;M;B;M;M;M;S;S;S;B;B;B;S;S;J;J;J;B;S;S;S;B;B;B;B;B;
