 ;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;
Nurse 0;S;B;M;M;M;B;B;J;J;B;J;S;S;S;B;B;B;B;B;B;B;B;B;B;B;B;B;B;
Nurse 1;B;B;B;B;B;B;B;B;S;S;S;J;B;M;M;B;J;M;M;M;B;B;B;B;J;J;M;M;
Nurse 2;J;B;B;B;B;B;B;S;B;B;M;M;B;B;B;B;B;B;B;B;B;B;S;S;S;B;S;S;
Nurse 3;M;M;S;S;S;B;B;B;B;B;B;B;B;B;B;M;B;J;B;B;B;M;B;M;B;S;B;B;
Nurse 4;S;S;J;J;J;M;M;B;B;J;J;B;M;B;S;J;M;B;S;S;S;J;J;B;M;M;M;B;
Nurse 5;J;J;S;S;B;S;S;M;M;M;S;B;B;B;J;S;S;S;J;B;M;S;M;B;B;B;B;B;
